Abbey 	Fencing Salon 	Parochial School
Dental Laboratory 	Miniature Golf Course 	Train Ticket Agency
Dental Radiology 	Miniatures Store 	Train Ticket Counter
Dental School 	Minibus Taxi Service 	Train yard
Dental Supply Store 	Mining Company 	Training Centre
Dentist 	Mining Consultant 	Training School
Denture Care Center 	Mining Engineer 	Transcription Service
Department for Regional Development 	Mining Equipment 	Translator
Department of Education 	Ministry of Education 	Transmission Shop
Department of Finance 	Mirror Shop 	Transportation Escort Service
Department of Housing 	Miso Cutlet Restaurant 	Transportation Service
Department of Motor Vehicles 	Missing Persons Organization 	Travel Agency
Department of Public Safety 	Mission 	Travel Clinic
Department of Social Services 	Mitsubishi Dealer 	Travellers Lodge
Department of Transportation 	Mobile Caterer 	Tree Farm
Department Store 	Mobile Disco 	Tree Service
Dept of City Treasure 	Mobile Hairdresser 	Trial Attorney
Dept of State Treasure 	Mobile Home Dealer 	Tribal Headquarters
Dermatologist 	Mobile Home Park 	Trinity Church
Desalination Plant 	Mobile Home Rental Agency 	Triumph Motorcycle Dealer
Design Agency 	Mobile Home Supply Store 	Trophy Shop
Design Engineer 	Mobile Money Agent 	Tropical Fish Store
Design Institute 	Mobile Network Operator 	Truck Accessories Store
Desktop Publishing Service 	Mobile Phone Repair Shop 	Truck Dealer
Sweets and Dessert Buffet 	Mobility Equipment Supplier 	Truck Farmer
Dessert Restaurant 	Model Car Play Area 	Truck Parts Supplier
Dessert Shop 	Model Design Company 	Truck Rental Agency
Detective 	Model Portfolio Studio 	Truck Repair Shop
Detention Center 	Model Train Store 	Truck Stop
Diabetes Center 	Modeling Agency 	Truck Topper Supplier
Diabetes Equipment Supplier 	Modeling School 	Truck Wash
Diabetologist 	Modern Art Museum 	Trucking Company
Diagnostic Center 	Modern British Restaurant 	Trucking School
Dialysis Center 	Modern European Restaurant 	Truss Manufacturer
Diamond Buyer 	Modern French Restaurant 	Trust Bank
Diamond Dealer 	Modular Home Builder 	Tsukigime Parking Lot
Diaper Service 	Modular Home Dealer 	Tune Up Supplier
Diesel Engine Dealer 	Mold Maker 	Tuning Automobile
Diesel Engine Repair Service 	Molding Supplier 	Tunisian Restaurant
Diesel Fuel Supplier 	Monastery 	Turf Supplier
Digital Printer 	Money Order Service 	Turkish Restaurant
Digital Printing Service 	Money Transfer Service 	Turkmen Restaurant
Dim Sum Restaurant 	Mongolian Barbecue Restaurant 	Turnery
Diner 	Monjayaki Restaurant 	Tuscan Restaurant
Dinner Theater 	Monogramming Service 	Tutoring Service
Direct Mail Advertising 	Montessori School 	Tuxedo Shop
Dirt Supplier 	Monument Maker 	Typewriter Repair Service
Disability Equipment Supplier 	Moped Dealer 	Typewriter Supplier
Disability Services & Support Organisation 	Moravian Church 	Typing Service
Disabled Sports Center 	Modern Izakaya Restaurants 	Udon Noodle Restaurant
Disc Golf Course 	Moroccan Restaurant 	Ukrainian Restaurant
Disciples of Christ Church 	Mortgage Broker 	Unagi Restaurant
Disco Club 	Mortgage Lender 	Underwear Store
Discount Store 	Mortuary 	Unemployment Insurance Consultant
Discount Supermarket 	Mosque 	Unemployment Office
Display Home Centre 	Motel 	Unfinished Furniture Store
Display Stand Manufacturer 	Motor Scooter Dealer 	Uniform Store
Disposable Tableware Supplier 	Motor Scooter Repair Shop 	Hairdresser
Distance Learning Center 	Motor Vehicle Dealer 	Unitarian Universalist Church
Distillery 	Motorcycle Dealer 	United Church of Canada
Distribution Service 	Motorcycle Driving School 	United Church of Christ
District Attorney 	Motorcycle Insurance Agency 	United Methodist Church
District Council 	Motorcycle Parts Store 	United States Armed Forces Base
District Government Office 	Motorcycle Rental Agency 	Unity Church
District Justice 	Motorcycle Repair Shop 	University
District Office 	Motorcycle Shop 	University Department
Dive Club 	Motoring Club 	University Hospital
Dive Shop 	Motorsports Store 	University Library
Diving Center 	Mountain Cable Car 	Upholstery Cleaning Service
Diving Contractor 	Mountain Cabin 	Upholstery Shop
Divorce Lawyer 	Mountaineering Class 	Urban Planning Department
Divorce Service 	Movie Rental Kiosk 	Urgent care center
DJ Service 	Movie Rental Store 	Urologist
DJ Supply Store 	Movie Studio 	Urology Clinic
Do-it-Yourself Shop 	Movie Theater 	Uruguayan Restaurant
Dock Builder 	Moving and Storage Service 	Pacific Northwest Restaurant (US)
Doctor 	Moving Company 	Used Appliance Store
Dodge Dealer 	Moving Supply Store 	Used Auto Parts Store
Dog Breeder 	MRI Center 	Used Bicycle Shop
Dog Cafe 	Muay Thai Boxing Gym 	Used Book Store
Dog Day Care Center 	Muffler Shop 	Used Car Dealer
Dog Hostel 	Mulch Supplier 	Used CD Store
Dog Park 	Multimedia and Electronic Book Publisher 	Used Clothing Store
Dog Sitter 	Municipal Administration Office 	Used Computer Store
Dog Trainer 	Municipal Corporation 	Used Furniture Store
Dog Walker 	Municipal Department Agricultural Development 	Used Game Store
Dogsled Ride Service 	Municipal Department Agriculture Food Supply 	Used Motorcycle Dealer
Dojo Restaurant 	Municipal Department Civil Defense 	Used Musical Instrument Store
Doll Restoration Service 	Municipal Department Communication 	Used Office Furniture Store
Doll Store 	Municipal Department Finance 	Used Store Fixture Supplier
Dollar Store 	Municipal Department Housing and Urban Development 	Used Tire Shop
Domestic Abuse Treatment Center 	Municipal Department of Culture 	Used Truck Dealer
Domestic Airport 	Municipal Department of Sports 	Utility Contractor
Dominican Restaurant 	Municipal Department of Tourism 	Utility Trailer Dealer
Donations Center 	Municipal Department Science Technology 	Uzbeki Restaurant
Donut Shop 	Municipal Department Social Defense 	Holiday Apartment
Door Manufacturer 	Municipal Guard 	Vacation Home Rental Agency
Door Shop 	Municipal Health Department 	Vacuum Cleaner Repair Shop
Door Supplier 	Municipal Office Education 	Vacuum Cleaner Store
Door Warehouse 	Municipal Social Development 	Vacuum Cleaning System Supplier
Double Glazing Installer 	Museum 	Valencian Restaurant
Down Home Cooking Restaurant 	Museum of Space History 	Valet Parking Service
Drafting Equipment Supplier 	Museum of Zoology 	Van Rental Agency
Drafting Service 	Music Box Store 	Vaporizer Store
Drainage Service 	Music College 	Variety Store
Drama School 	Music Conservatory 	Vascular Surgeon
Drama Theater 	Music Instructor 	Vastu Consultant
Drawing Lessons 	Music Management and Promotion 	VCR Repair Service
Dress and Tuxedo Rental Service 	Music Producer 	Vegan Restaurant
Dress Store 	Music Publisher 	Vegetable Wholesale Market
Dressmaker 	Music School 	Vegetable Wholesaler
Dried Flower Shop 	Music Store 	Vegetarian Cafe and Deli
Dried Seafood Store 	Musical Club 	Vegetarian Restaurant
Drilling Contractor 	Musical Instrument Manufacturer 	Vehicle Examination Office
Drilling Equipment Supplier 	Musical Instrument Rental Service 	Vehicle Exporter
Drinking Water Fountain 	Musical Instrument Repair Shop 	Vehicle Inspection
Drive-in Movie Theater 	Musical Instrument Store 	Vehicle Shipping Agent
Driver and Vehicle Licensing Agency 	Musician 	Velodrome
Driver’s License Office 	Musician and Composer 	Vending Machine Supplier
Drivers License Training School 	Mutton Barbecue Restaurant 	Venereologist
Driveshaft Shop 	Nail Salon 	Venetian Restaurant
Driving School 	Nanny 	Venezuelan Restaurant
Driving Test Centre 	Nanotechnology Engineer 	Ventilating Equipment Manufacturer
Drug Addiction Treatment Center 	National Forest 	Venture Capital Company
Drug Testing Service 	National Health Foundation 	Veterans Affairs Department
Drug Store 	National Library 	Veterans Center
Drum School 	National Museum 	Veterans Hospital
Drum Store 	National Park 	Veterans Organization
Dry Cleaner 	National Reserve 	Veterinarian
Dry Fruit Store 	Native American Goods Store 	Veterinary Pharmacy
Dry Ice Supplier 	Native American Restaurant 	Video Arcade
Dry Wall Contractor 	Natural Foods Store 	Video Camera Repair Service
Dry Wall Supply Store 	Natural Gas Supplier 	Video Conferencing Equipment Supplier
Ducati Dealer 	Natural History Museum 	Video Conferencing Service
Dude Ranch 	Natural Stone Exporter 	Video Duplication Service
Dump Truck Dealer 	Natural Stone Supplier 	Video Editing Service
Dump Truck Service 	Natural Stone Wholesaler 	Video Equipment Repair Service
Dumpling Restaurant 	Nature Preserve 	Video Game Rental Kiosk
Dutch Restaurant 	Naturopathic Practitioner 	Video Game Rental Service
Duty Free Store 	Naval Base 	Video Game Rental Store
DVD Store 	Navarraise Restaurant 	Video Game Store
Dye Store 	Neapolitan Restaurant 	Video Karaoke
Dyeworks 	Needlework Shop 	Video Production Service
Dynamometer Supplier 	Neon Sign Shop 	Video Store
E Commerce Agency 	Neonatal Physician 	Vietnamese Restaurant
E-commerce Service 	Nepalese Restaurant 	Villa
Ear Piercing Service 	Nephrologist 	Village Hall
Earth Works Company 	Netball Club 	Vineyard
East African Restaurant 	Neurologist 	Vineyard Church
Eastern European Restaurant 	Neurosurgeon 	Vintage Clothing Store
Eastern Orthodox Church 	New Age Church 	Violin Shop
Eating Disorder Treatment Center 	New England Restaurant 	Virtual Office Rental
Eclectic Restaurant 	New American Restaurant 	Visa and Passport Office
Ecological Park 	New Years Tree Market 	Visa Consultant
Ecologists Association 	New Zealand Restaurant 	Visitor Center
Economic Consultant 	News Service 	Vitamin & Supplements Store
Economic Development Agency 	Newspaper Advertising Department 	Vocal Instructor
Ecuadorian Restaurant 	Newspaper Distribution 	Vocational College
Education Center 	Newspaper Publisher 	Vocational School One
Educational Consultant 	Newsstand 	Vocational School
Educational Institution 	Nicaraguan Restaurant 	Volkswagen Dealer
Educational Supply Store 	Night Club 	Volleyball Club
Educational Testing Service 	Night Market 	Volleyball Court
Eftpos Equipment Supplier 	Nissan Dealer 	Volleyball Instructor
Egg Supplier 	Non-Denominational Church 	Volunteer Organization
Egyptian Restaurant 	Non-Governmental Organization 	Volvo Dealer
Elder Law Attorney 	Non-Profit Organization 	Voter Registration Office
Electric Motor Repair Shop 	Non Smoking Holiday Home 	Voting Facility
Electric Motor Store 	Noodle Shop 	Waldorf Kindergarten
Electric Utility Company 	North African Restaurant 	Waldorf School
Electric Utility Manufacturer 	Northern Italian Restaurant 	Walk-In Clinic
Electric Vehicle Charging Station 	Norwegian Restaurant 	Wallpaper Store
Electrical Appliance Wholesaler 	Notaries Association 	War Museum
Electrical Engineer 	Notary Public 	Warehouse
Electrical Equipment Supplier 	Notions Store 	Warehouse club
Electrical Installation Service 	Novelties Wholesaler 	Warehouse store
Electrical Repair Shop 	Novelty Store 	Washer & Dryer Repair Service
Electrical Substation 	Nuclear Engineer 	Washer & Dryer Store
Electrical Supply Store 	Nuclear Power Company 	Waste Management Service
Electrical Wholesaler 	Nuclear Power Plant 	Watch Manufacturer
Electrician 	Nudist Club 	Watch Repair Service
Electrolysis Hair Removal Service 	Nudist Park 	Watch Store
Electronic Engineer 	Nuevo Latino Restaurant 	Water Cooler Supplier
Electronic Parts Supplier 	Numerologist 	Water Damage Restoration Service
Electronics Accessories Wholesaler 	Convent 	Water Filter Supplier
Electronics Company 	Nursery School 	Water Jet Cutting Service
Electronics Engineer 	Nursing Agency 	Water Mill
Electronics Exporter 	Nursing Association 	Water Park
Electronics Hire Shop 	Nursing Home 	Water Polo Pool
Electronics Manufacturer 	Nursing School 	Water Pump Supplier
Electronics Repair Shop 	Nut Store 	Water Purification Company
Electronics Store 	Nutritionist 	Water Ski Shop
Electronics Vending Machine 	Nyonya Restaurant 	Water Skiing Club
Electronics Wholesaler 	Obanzai Restaurant 	Water Skiing Instructor
Elementary School 	Observation Deck 	Water Skiing Service
Elevator Manufacturer 	Observatory 	Water Softening Equipment Supplier
Elevator Service 	Women’s Health Clinic 	Water Sports Equipment Rental Service
Embassy 	Occupational Health Service 	Water Tank Cleaning Service
Embossing Service 	Occupational Medical Physician 	Water Testing Service
Embroidery Service 	Occupational Safety and Health 	Water Treatment Plant
Embroidery Shop 	Occupational Therapist 	Water Treatment Supplier
Emergency Call Booth 	Oden Restaurant 	Water Utility Company
Emergency Care Physician 	Off-road Race Track 	Water Works
Emergency Care Service 	Off Roading Area 	Water Works Equipment Supplier
Emergency Dental Service 	Off Track Betting Shop 	Waterbed Repair Service
Emergency Locksmith Service 	Offal Pot Cooking Restaurant 	Waterbed Store
Emergency Management Ministry 	Office Accessories Wholesaler 	Waterproofing Company
Emergency Room 	Office Equipment Rental Service 	Wax Museum
Emergency Training 	Office Equipment Repair Service 	Wax Supplier
Emergency Training School 	Office Equipment Supplier 	Waxing Hair Removal Service
Emergency Veterinarian Service 	Office Furniture Store 	Weather Forecast Service
Employment Agency 	Office of Vital Records 	Weaving Mill
Employment Attorney 	Office Refurbishment Service 	Web Hosting Company
Employment Center 	Office Space Rental Agency 	Website Designer
Employment Consultant 	Office Supply Store 	Wedding Bakery
Employment Search Service 	Office Supply Wholesaler 	Wedding Buffet
Endocrinologist 	Oil and Gas Exploration Service 	Wedding Chapel
Endodontist 	Oil Change Service 	Wedding Dress Rental Service
Endoscopist 	Oil & Natural Gas Company 	Wedding Photographer
Energy Equipment and Solutions 	Oil Field Equipment Supplier 	Wedding Planner
Energy Supplier 	Oil Refinery 	Wedding Service
Engine Rebuilding Service 	Oil Store 	Wedding Souvenir Shop
Engineer 	Oil Wholesaler 	Wedding Store
Engineering Consultant 	Oilfield 	Wedding Venue
Engineering School 	Okonomiyaki Restaurant 	Weigh Station
English Language Camp 	Oldsmobile Dealer 	Weight Loss Service
English Language Instructor 	Olive Oil Bottling Company 	Weightlifting Area
English Language School 	Olive Oil Cooperative 	Weir
English Restaurant 	Olive Oil Manufacturer 	Welder
Engraver 	Oncologist 	Welding Gas Supplier
Entertainer 	Opel dealer 	Welding Supply Store
Entertainment Agency 	Open Air Museum 	Well Drilling Contractor
Envelope Supplier 	Open University 	Wellness Center
Environment Office 	Opera Company 	Wellness Hotel
Environment Renewable Natural Resources 	Opera House 	Wellness Program
Environmental Consultant 	Ophthalmologist 	Welsh Restaurant
Environmental Engineer 	Ophthalmology Clinic 	Wesleyan Church
Environmental Health Service 	Optical Products Manufacturer 	West African Restaurant
Environmental Organization 	Optical Wholesaler 	Western Apparel Store
Environmental Protection Organization 	Optician 	Western Restaurant
Episcopal Church 	Optometrist 	Whale Watching Tour Agency
Equestrian Club 	Oral Surgeon 	Wheel Alignment Service
Equestrian Facility 	Orchard 	Wheel Store
Equestrian Resort 	Orchestra 	Wheelchair Rental Service
Equestrian Store 	Orchid Farm 	Wheelchair Repair Service
Equipment Exporter 	Orchid Grower 	Wheelchair Store
Equipment Importer 	Organ Donation and Tissue Bank 	Wholesale Bakery
Equipment Rental Agency 	Organic Drug Store 	Wholesale Drugstore
Equipment Supplier 	Organic Farm 	Wholesale Florist
Eritrean Restaurant 	Organic Food Store 	Wholesale Food Store
Erotic Massage 	Organic Restaurant 	Wholesale Grocer
Escrow Service 	Organic Shop 	Wholesale Jeweler
Espresso Bar 	Oriental Art Museum 	Wholesale Market
Estate Appraiser 	Oriental Goods Store 	Wholesale Plant Nursery
Estate Liquidator 	Oriental Medicine Clinic 	Wholesaler
Estate Planning Attorney 	Oriental Medicine Store 	Wholesaler Household Appliances
Ethiopian Restaurant 	Oriental Rug Store 	Wi-Fi Spot
Ethnic Restaurant 	Orphan Asylum 	Wicker Store
Ethnographic Museum 	Orphanage 	Wig Shop
European Institution 	Orthodontist 	Wildlife and Safari Park
European Restaurant 	Orthodox Church 	Wildlife Park
Evangelical Church 	Orthodox Synagogue 	Wildlife Refuge
Evening Dress Rental Service 	Orthopedic Clinic 	Wildlife Rescue Service
Evening School 	Orthopedic Shoe Store 	Willow Basket Manufacturer
Event Management Company 	Orthopedic Surgeon 	Wind Farm
Event Planner 	Orthoptist 	Wind Turbine Builder
Event Technology Service 	Orthotics & Prosthetics Service 	Window Cleaning Service
Event Ticket Seller 	Osteopath 	Window Installation Service
Event Venue 	Otolaryngologist 	Window Supplier
Excavating Contractor 	Otolaryngology Clinic 	Window Tinting Service
Executive Search Firm 	Otolaryngology Hospital 	Window Treatment Store
Executive Suite Rental Agency 	Outboard Motor Store 	Windsurfing Store
Executor 	Outdoor Activity Organiser 	Wine Bar
Exhibit 	Outdoor Bath 	Wine Cellar
Exhibition and Trade Centre 	Outdoor Clothing and Equipment Shop 	Wine Club
Exhibition Planner 	Outdoor Equestrian Facility 	Wine Storage Facility
Exporter 	Outdoor Furniture Store 	Wine Store
Extended Stay Hotel 	Outdoor movie theater 	Wine Wholesaler and Importer
Eye Care Center 	Outdoor Sports Store 	Winemaking Supply Store
Fabric Product Manufacturer 	Outdoor Swimming Pool 	Winery
Fabric Store 	Outerwear Store 	Wing Chun School
Fabric Wholesaler 	Outlet Mall 	Wok Restaurant
Fabrication Engineer 	Outlet Store 	Women’s Clothing Store
Facial Spa 	Oxygen Cocktail Spot 	Womens College
Factory Equipment Supplier 	Oxygen Equipment Supplier 	Women’s Organization
Faculty of Arts 	Oyster Bar Restaurant 	Womens Personal Trainer
Faculty of Law 	Oyster Supplier 	Womens Protection Service
Faculty of Pharmacy 	Pachinko Parlor 	Women’s Shelter
Faculty of Psychology 	Pacific Rim Restaurant 	Wood and Laminate Flooring Supplier
Faculty of Science 	Packaging Company 	Wood Floor Installation Service
Faculty of Sports 	Packaging Machinery 	Wood Floor Refinishing Service
Fair Trade Organization 	Packaging Supply Store 	Wood Frame Supplier
Fairground 	Padel Club 	Wood Stove Shop
Falafel Restaurant 	Padel Court 	Wood Supplier
Family Counselor 	Pagoda 	Wood Working Class
Family Day Care Service 	Pain Control Clinic 	Woodworker
Family Hotel 	Pain Management Physician 	Woodworking Supply Store
Family Law Attorney 	Paint Manufacturer 	Wool Store
Family Planning Center 	Paint Store 	Work Clothes Store
Family Planning Counselor 	Paint Stripping Company 	Workers’ Club
Family Practice Physician 	Paintball Center 	Working Womens Hostel
Family Restaurant 	Paintball Store 	Wrestling School
Family Service Center 	Painter 	X-ray Equipment Supplier
Farm 	Painting 	X-ray Lab
Farm Bureau 	Painting Lessons 	Xiang Cuisine Restaurant
Farm Equipment Repair Service 	Painting Studio 	Yacht Broker
Farm Equipment Supplier 	Paintings Store 	Yacht Club
Farm Household Tour 	Pakistani Restaurant 	Yakatabune
Farm School 	Pallet Supplier 	Yakiniku Restaurant
Farm Shop 	Pan-Asian Restaurant 	Yakitori Restaurant
Farmers’ Market 	Pan-Latin Restaurant 	Yamaha Motorcycle Dealer
Farmstay 	Pancake Restaurant 	Yarn Store
Fashion Accessories Store 	Paper Bag Supplier 	Yemenite Restaurant
Fashion Design School 	Paper Distributor 	Yeshiva
Fashion Designer 	Paper Exporter 	Yoga Instructor
Fast Food Restaurant 	Paper Mill 	Yoga Retreat Center
Fastener Supplier 	Paper Shredding Machine Supplier 	Yoga Studio
Favela 	Paper Store 	Youth Care
Fax Service 	Paraguayan Restaurant 	Youth Center
Federal Agency for Technical Relief 	Paralegal Services Provider 	Youth Clothing Store
Federal Credit Union 	Parasailing Ride Service 	Youth Club
Federal Government Office 	Parish 	Youth Group
Federal Police 	Park 	Youth Hostel
Federal Reserve Bank 	Park & Ride 	Youth Organization
Feed Manufacturer 	Parking Garage 	Youth Social Services Organization
Animal Feed Store 	Parking Lot 	Zac
Felt Boots Store 	Parking Lot for Bicycles 	Zhe Jiang Restaurant
Fence Contractor 	Parking Lot for Motorcycles 	Zoo
Fence Supply Store 	Parkour Spot
